,date,price,bubble_size,bubble_color,from_address,to_address,punk_id,img_url,punk_skin_tone
5672,2022-03-12,89.95,3,#f9a47e,\x6639c089adfba8bb9968da643c6be208a70d6daa,\x0a8025d44f7499ff8fb6230513c3f253b51ee5ad,6585,https://www.larvalabs.com/cryptopunks/cryptopunk6585.png,Albino
5681,2021-02-14,10.75,4,#933e18,\xc0549087333b7972088f3aef2b07eacbe0834b44,\xe9e7b800ec5fc6015cf6b2826711254bab3c12e4,6468,https://www.larvalabs.com/cryptopunks/cryptopunk6468.png,Dark
5685,2022-07-17,94.0,3,#933e18,\xeca588e75c8eb0d2322f52c2c90bd525c5a5d93d,\x70d04384b5c3a466ec4d8cfb8213efc31c6a9d15,5542,https://www.larvalabs.com/cryptopunks/cryptopunk5542.png,Dark
5689,2021-02-17,11.0,3,#933e18,\x491be76b1b212ecd63ec80fcb315b4b6c397674f,\xe98492bac6643331c6d6059a3166b3ed5ba95ecf,8095,https://www.larvalabs.com/cryptopunks/cryptopunk8095.png,Dark
5690,2021-03-15,24.94,3,#933e18,\xe98492bac6643331c6d6059a3166b3ed5ba95ecf,\xf1e1c701b49b1dc2405a9e8ef40f9f88802b80fa,8095,https://www.larvalabs.com/cryptopunks/cryptopunk8095.png,Dark
5691,2022-06-19,65.0,3,#933e18,\xf1e1c701b49b1dc2405a9e8ef40f9f88802b80fa,\x1fef500586a301d843a8049b6fefb920b4888513,8095,https://www.larvalabs.com/cryptopunks/cryptopunk8095.png,Dark
5698,2021-08-04,45.0,4,#f6773d,\xf40b3d16ae26262db9b19e0ec80d8a490c40bdcb,\xa044ec5c5189d7b2ecc176753bf9a9e1ddbc9d5f,5241,https://www.larvalabs.com/cryptopunks/cryptopunk5241.png,Light
5699,2022-02-15,95.0,4,#f6773d,\xa044ec5c5189d7b2ecc176753bf9a9e1ddbc9d5f,\x8f8b4759dc93ca55bd6997df719f20f581f10f5c,5241,https://www.larvalabs.com/cryptopunks/cryptopunk5241.png,Light
5700,2022-07-09,84.75,4,#f6773d,\x05a726aff20ab6b723a147fcb19d3fa6433d627d,\x47e82ecfb29c881ab40d9d53e921d855a7a10ef3,5241,https://www.larvalabs.com/cryptopunks/cryptopunk5241.png,Light
5701,2022-07-23,88.0,4,#f6773d,\x47e82ecfb29c881ab40d9d53e921d855a7a10ef3,\x8f8b4759dc93ca55bd6997df719f20f581f10f5c,5241,https://www.larvalabs.com/cryptopunks/cryptopunk5241.png,Light
5707,2021-05-09,20.38,3,#933e18,\xa2dcba7068d62bf5389bcd1a11cab502a2d3bca8,\x20a6f27e11edc08d32c21454b4625eecfb22bb21,8389,https://www.larvalabs.com/cryptopunks/cryptopunk8389.png,Dark
5708,2021-07-12,19.95,3,#933e18,\x07fb466e11aaa9c80d68ec85073381a7ce297ca3,\x03f63b96240c4a0a3e197329787adf0fa42806df,8389,https://www.larvalabs.com/cryptopunks/cryptopunk8389.png,Dark
5711,2021-03-12,31.99,2,#933e18,\x801abde79477c69720008e273fe267806c28c7c1,\x9d1968765e37f5cbd4f1c99a012cf0b5b07067ae,7525,https://www.larvalabs.com/cryptopunks/cryptopunk7525.png,Dark
