punk_id,type,gender,skin_tone,count,accessories,img_dir
316, Human, Female, Dark,1, Bandana,./imgs/316.png
317, Human, Male, Medium,3, Bandana / Frown / Chinstrap,./imgs/317.png
318, Human, Female, Albino,3, Bandana / Hot Lipstick / Cigarette,./imgs/318.png
319, Human, Female, Light,2, Earring / Straight Hair Dark,./imgs/319.png
320, Human, Male, Dark,1, Stringy Hair,./imgs/320.png
321, Human, Male, Medium,1, Peak Spike,./imgs/321.png
322, Human, Female, Medium,3, Black Lipstick / Pink With Hat / Clown Eyes Green,./imgs/322.png
323, Human, Male, Dark,1, Mohawk Dark,./imgs/323.png
324, Human, Female, Albino,3, Hot Lipstick / Earring / Blonde Bob,./imgs/324.png
325, Human, Male, Dark,3, Police Cap / Mustache / Small Shades,./imgs/325.png
326, Human, Female, Dark,3, Wild White Hair / Hot Lipstick / Earring,./imgs/326.png
327, Human, Male, Albino,1, Crazy Hair,./imgs/327.png
328, Human, Male, Light,2, Bandana / Horned Rim Glasses,./imgs/328.png
329, Human, Female, Medium,2, Bandana / Eye Patch,./imgs/329.png
330, Human, Male, Medium,2, Knitted Cap / Clown Eyes Green,./imgs/330.png
331, Human, Female, Albino,3, Tassle Hat / Purple Lipstick / Earring,./imgs/331.png
332, Human, Male, Dark,2, Stringy Hair / Horned Rim Glasses,./imgs/332.png
333, Human, Female, Light,3, Purple Eye Shadow / Straight Hair Blonde / Purple Lipstick,./imgs/333.png
334, Human, Male, Dark,2, Wild Hair / Big Beard,./imgs/334.png
335, Human, Male, Medium,1, Clown Hair Green,./imgs/335.png
336, Human, Male, Medium,3, Nerd Glasses / Normal Beard / Top Hat,./imgs/336.png
337, Human, Male, Medium,1, Frumpy Hair,./imgs/337.png
338, Human, Male, Light,2, Messy Hair / Small Shades,./imgs/338.png
339, Human, Female, Albino,5, Mole / Cap / Big Shades / Black Lipstick / Earring,./imgs/339.png
340, Human, Male, Medium,4, Muttonchops / Headband / Medical Mask / 3D Glasses,./imgs/340.png
341, Human, Female, Light,2, Messy Hair / Earring,./imgs/341.png
342, Human, Female, Light,2, Bandana / Regular Shades,./imgs/342.png
343, Human, Male, Light,2, Police Cap / Shadow Beard,./imgs/343.png
344, Human, Male, Dark,1, Beanie,./imgs/344.png
345, Human, Female, Medium,2, Tassle Hat / Earring,./imgs/345.png
346, Human, Male, Medium,1, Purple Hair,./imgs/346.png
347, Human, Male, Medium,2, Horned Rim Glasses / Knitted Cap,./imgs/347.png
348, Human, Female, Light,3, Messy Hair / Rosy Cheeks / Nerd Glasses,./imgs/348.png
