punk_id,type,gender,skin_tone,attr_count,img_url,avg_price,category,bubble_color
5213,Human,Male,Light,3,https://www.larvalabs.com/cryptopunks/cryptopunk5213.png,8.0,Human Male,#F2A359
5214,Human,Male,Albino,3,https://www.larvalabs.com/cryptopunks/cryptopunk5214.png,87.73,Human Male,#F2DC5D
5215,Human,Male,Dark,2,https://www.larvalabs.com/cryptopunks/cryptopunk5215.png,21.25,Human Male,#A4031F
5217,Ape,Male,Non-human,2,https://www.larvalabs.com/cryptopunks/cryptopunk5217.png,1126.25,Ape Male,#F2DC5D
5220,Human,Male,Medium,3,https://www.larvalabs.com/cryptopunks/cryptopunk5220.png,6.633333333333333,Human Male,#DB9065
5222,Human,Female,Dark,3,https://www.larvalabs.com/cryptopunks/cryptopunk5222.png,2.4633333333333334,Human Female,#A4031F
5224,Human,Male,Dark,2,https://www.larvalabs.com/cryptopunks/cryptopunk5224.png,59.25,Human Male,#A4031F
5225,Human,Male,Albino,2,https://www.larvalabs.com/cryptopunks/cryptopunk5225.png,1.22,Human Male,#F2DC5D
5226,Human,Male,Light,4,https://www.larvalabs.com/cryptopunks/cryptopunk5226.png,4.763333333333333,Human Male,#F2A359
5227,Human,Male,Dark,2,https://www.larvalabs.com/cryptopunks/cryptopunk5227.png,17.082,Human Male,#A4031F
5228,Human,Male,Light,2,https://www.larvalabs.com/cryptopunks/cryptopunk5228.png,33.218333333333334,Human Male,#F2A359
