punk_id,type,gender,skin_tone,attr_count,attributes,skin_tone_color,avg_price,img_url
642,Human,Female,Medium,2,"['Pink With Hat', 'Purple Lipstick']",#DB9065,87.51333333333332,https://www.larvalabs.com/cryptopunks/cryptopunk642.png
643,Human,Male,Medium,3,"['Mustache', 'Smile', 'Mohawk']",#DB9065,62.305,https://www.larvalabs.com/cryptopunks/cryptopunk643.png
644,Human,Male,Albino,2,"['Mohawk Thin', 'Earring']",#F2DC5D,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk644.png
645,Human,Male,Light,4,"['Cap', 'Earring', 'Horned Rim Glasses', 'Goat']",#F2A359,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk645.png
646,Human,Female,Dark,4,"['Green Eye Shadow', 'Hot Lipstick', 'Earring', 'Mohawk Dark']",#A4031F,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk646.png
647,Human,Female,Albino,1,['Bandana'],#F2DC5D,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk647.png
648,Human,Male,Light,3,"['Peak Spike', 'Eye Patch', 'Big Beard']",#F2A359,41.295,https://www.larvalabs.com/cryptopunks/cryptopunk648.png
649,Human,Male,Medium,4,"['Mustache', 'Earring', 'Pipe', 'Do-rag']",#DB9065,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk649.png
650,Human,Male,Dark,2,"['Messy Hair', 'Big Beard']",#A4031F,132.495,https://www.larvalabs.com/cryptopunks/cryptopunk650.png
651,Human,Male,Light,1,['Do-rag'],#F2A359,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk651.png
652,Human,Male,Dark,3,"['Normal Beard Black', 'Vape', 'Mohawk Dark']",#A4031F,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk652.png
653,Human,Female,Medium,2,"['Blue Eye Shadow', 'Wild Blonde']",#DB9065,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk653.png
654,Human,Female,Light,3,"['Wild White Hair', 'Clown Eyes Green', 'Earring']",#F2A359,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk654.png
655,Human,Male,Light,2,"['Chinstrap', 'Mohawk']",#F2A359,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk655.png
656,Human,Male,Light,3,"['Mohawk Thin', 'Earring', 'Smile']",#F2A359,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk656.png
657,Human,Male,Medium,4,"['Cigarette', 'Cap', 'Classic Shades', 'Mustache']",#DB9065,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk657.png
658,Human,Female,Albino,2,"['Black Lipstick', 'Mohawk']",#F2DC5D,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk658.png
659,Human,Female,Albino,3,"['Mole', 'Tassle Hat', 'Gold Chain']",#F2DC5D,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk659.png
660,Human,Female,Dark,4,"['Purple Eye Shadow', 'Wild Hair', 'Purple Lipstick', 'Earring']",#A4031F,84.14999999999999,https://www.larvalabs.com/cryptopunks/cryptopunk660.png
661,Human,Male,Dark,2,"['Goat', 'Knitted Cap']",#A4031F,45.9375,https://www.larvalabs.com/cryptopunks/cryptopunk661.png
662,Human,Male,Albino,2,"['Muttonchops', 'Purple Hair']",#F2DC5D,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk662.png
663,Human,Male,Dark,1,['Frumpy Hair'],#A4031F,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk663.png
664,Human,Female,Light,2,"['Tassle Hat', 'Horned Rim Glasses']",#F2A359,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk664.png
665,Human,Male,Medium,3,"['Luxurious Beard', 'Clown Hair Green', 'Regular Shades']",#DB9065,6.0,https://www.larvalabs.com/cryptopunks/cryptopunk665.png
666,Human,Female,Light,2,"['Messy Hair', 'Purple Lipstick']",#F2A359,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk666.png
667,Human,Female,Medium,2,"['Hot Lipstick', 'Mohawk Dark']",#DB9065,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk667.png
668,Human,Female,Medium,2,"['Clown Eyes Green', 'Mohawk Dark']",#DB9065,23.99,https://www.larvalabs.com/cryptopunks/cryptopunk668.png
