,date,from,to,eth_price,punk_id,type,gender,skin_tone,attr_count,attributes,skin_tone_color,img_url
2505,2018-01-20,5223,89,0.1,9850,Human,Male,Light,4,"['Shadow Beard', 'Knitted Cap', 'Regular Shades', 'Mole']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk9850.png
2506,2018-01-20,1303,89,0.11,3438,Human,Male,Light,5,"['Frumpy Hair', 'Frown', 'Shadow Beard', 'Classic Shades', 'Earring']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk3438.png
2507,2021-07-31,1470,2276,88.0,3438,Human,Male,Light,5,"['Frumpy Hair', 'Frown', 'Shadow Beard', 'Classic Shades', 'Earring']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk3438.png
2508,2021-08-06,2276,1644,108.0,3438,Human,Male,Light,5,"['Frumpy Hair', 'Frown', 'Shadow Beard', 'Classic Shades', 'Earring']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk3438.png
2509,2021-08-23,1644,5773,115.0,3438,Human,Male,Light,5,"['Frumpy Hair', 'Frown', 'Shadow Beard', 'Classic Shades', 'Earring']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk3438.png
2510,2022-06-13,4282,864,62.0,3438,Human,Male,Light,5,"['Frumpy Hair', 'Frown', 'Shadow Beard', 'Classic Shades', 'Earring']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk3438.png
2511,2018-01-20,1303,3549,0.12,2480,Human,Male,Dark,2,"['Vape', 'Mohawk Dark']",#A4031F,https://www.larvalabs.com/cryptopunks/cryptopunk2480.png
2512,2021-04-23,3549,5113,20.21,2480,Human,Male,Dark,2,"['Vape', 'Mohawk Dark']",#A4031F,https://www.larvalabs.com/cryptopunks/cryptopunk2480.png
2513,2021-07-21,5113,5855,21.0,2480,Human,Male,Dark,2,"['Vape', 'Mohawk Dark']",#A4031F,https://www.larvalabs.com/cryptopunks/cryptopunk2480.png
2514,2021-08-05,5855,4242,38.0,2480,Human,Male,Dark,2,"['Vape', 'Mohawk Dark']",#A4031F,https://www.larvalabs.com/cryptopunks/cryptopunk2480.png
2515,2021-08-20,5408,1291,0.0,2480,Human,Male,Dark,2,"['Vape', 'Mohawk Dark']",#A4031F,https://www.larvalabs.com/cryptopunks/cryptopunk2480.png
2516,2021-09-03,3521,4644,103.97,2480,Human,Male,Dark,2,"['Vape', 'Mohawk Dark']",#A4031F,https://www.larvalabs.com/cryptopunks/cryptopunk2480.png
2517,2018-01-20,1303,89,0.14,3370,Human,Male,Dark,3,"['Shadow Beard', 'Purple Hair', 'Earring']",#A4031F,https://www.larvalabs.com/cryptopunks/cryptopunk3370.png
2518,2021-03-02,89,2256,27.0,3370,Human,Male,Dark,3,"['Shadow Beard', 'Purple Hair', 'Earring']",#A4031F,https://www.larvalabs.com/cryptopunks/cryptopunk3370.png
2519,2018-01-20,5223,3549,0.1,8956,Human,Male,Light,2,"['Vape', 'Mohawk']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk8956.png
2520,2021-04-23,3549,5113,20.21,8956,Human,Male,Light,2,"['Vape', 'Mohawk']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk8956.png
2521,2021-05-04,5113,193,21.0,8956,Human,Male,Light,2,"['Vape', 'Mohawk']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk8956.png
2522,2022-02-20,4935,2874,68.25,8956,Human,Male,Light,2,"['Vape', 'Mohawk']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk8956.png
2523,2022-03-05,3196,3096,69.0,8956,Human,Male,Light,2,"['Vape', 'Mohawk']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk8956.png
2524,2022-05-15,4282,3458,59.95,8956,Human,Male,Light,2,"['Vape', 'Mohawk']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk8956.png
2525,2018-01-20,1303,15,0.17,2619,Human,Male,Light,5,"['Cigarette', 'Front Beard Dark', 'Earring', 'Horned Rim Glasses', 'Knitted Cap']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk2619.png
2526,2021-08-18,4162,782,85.0,2619,Human,Male,Light,5,"['Cigarette', 'Front Beard Dark', 'Earring', 'Horned Rim Glasses', 'Knitted Cap']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk2619.png
2527,2021-08-26,782,1682,129.99,2619,Human,Male,Light,5,"['Cigarette', 'Front Beard Dark', 'Earring', 'Horned Rim Glasses', 'Knitted Cap']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk2619.png
